VarName,TimeString,VarValue,Validity,Time_ms
sprayed powder calculated recipe,10/02/2021 23:58,11.4,1,42397781256
sprayed powder calculated recipe,10/02/2021 23:59,11.4,1,42397781256
sprayed powder calculated recipe,13/02/2021 23:59,61.4,1,42397781256
sprayed powder calculated recipe,15/02/2021 23:59,81.4,1,42397781256
sprayed powder calculated recipe,23/02/2021 23:59,7.4,1,42397781256
sprayed powder calculated recipe,03/03/2021 23:59,71.4,1,42397781256
sprayed powder calculated recipe,04/03/2021 23:59,70.4,1,42397785447
sprayed powder calculated recipe,05/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,06/03/2021 23:59,80.4,1,42397785447
sprayed powder calculated recipe,07/03/2021 23:59,17.4,1,42397785447
sprayed powder calculated recipe,08/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,09/03/2021 12:59,10,1,42397785447
sprayed powder calculated recipe,09/03/2021 13:59,31.4,1,42397781256
sprayed powder calculated recipe,09/03/2021 23:59,51.4,1,42397781256
sprayed powder calculated recipe,10/03/2021 23:59,90.4,1,42397785447
sprayed powder calculated recipe,11/03/2021 23:59,59,1,42397785447
sprayed powder calculated recipe,12/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,13/03/2021 23:59,17.4,1,42397785447
sprayed powder calculated recipe,13/03/2021 23:59,20.4,1,42397785447
sprayed powder calculated recipe,14/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,15/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,16/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,17/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,18/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,19/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,20/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,21/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,22/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,23/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,24/03/2021 23:59,70.4,1,42397785447
sprayed powder calculated recipe,25/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,26/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,27/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,28/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,29/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,30/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,31/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,24/07/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,25/07/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,26/07/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,27/07/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,28/07/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,29/07/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,30/07/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,31/07/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,01/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,02/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,03/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,04/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,05/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,06/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,07/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,08/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,09/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,10/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,11/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,12/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,13/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,14/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,15/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,16/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,17/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,18/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,19/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,20/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,21/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,22/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,23/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,24/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,25/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,26/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,27/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,28/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,29/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,30/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,31/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,01/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,02/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,03/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,04/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,05/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,06/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,07/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,08/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,09/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,10/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,11/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,12/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,13/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,14/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,15/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,16/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,17/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,18/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,19/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,20/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,21/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,22/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,23/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,24/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,25/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,26/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,27/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,28/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,29/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,30/09/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,01/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,02/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,03/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,04/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,05/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,06/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,07/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,08/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,09/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,10/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,11/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,12/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,13/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,14/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,15/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,16/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,17/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,18/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,19/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,20/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,21/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,22/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,23/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,24/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,25/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,26/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,27/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,28/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,29/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,30/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,31/10/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,01/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,02/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,03/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,04/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,05/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,06/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,07/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,08/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,09/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,10/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,11/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,12/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,13/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,14/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,15/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,16/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,17/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,18/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,19/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,20/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,21/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,22/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,23/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,24/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,25/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,26/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,27/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,28/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,29/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,30/11/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,01/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,02/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,03/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,04/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,05/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,06/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,07/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,08/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,09/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,10/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,11/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,12/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,13/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,14/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,15/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,16/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,17/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,18/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,19/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,20/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,21/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,22/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,23/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,24/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,25/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,26/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,27/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,28/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,29/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,30/12/2021 23:59,10.4,1,42397785447
sprayed powder calculated recipe,31/12/2021 23:59,10.4,1,42397785447
